name,testMethods,snapshotTestMethods,assertions,snapshotAssertions,hasOnlyFileST,hasOnlyInlineST,hasBothST
agraboso/redux-api-middleware,99,58,126,62,1,0,0
airbnb/react-sketchapp,135,50,232,50,1,0,0
aksonov/react-native-router-flux,5,3,3,3,1,0,0
alexkuz/react-input-enhancements,12,12,12,12,1,0,0
algolia/places,136,3,271,3,1,0,0
algolia/react-instantsearch,1494,332,2992,367,0,0,1
anthonyjgrove/react-google-login,48,24,48,24,1,0,0
arackaf/customize-cra,52,39,72,39,1,0,0
arqex/react-datetime,147,25,320,25,1,0,0
atomiks/tippyjs-react,37,4,68,5,1,0,0
atomiks/tippyjs,299,11,531,11,1,0,0
awslabs/diagram-maker,699,91,785,91,1,0,0
babel/minify,40,14,50,16,1,0,0
balajmarius/svg2jsx,15,15,40,15,1,0,0
bartonhammond/snowflake,85,7,137,7,1,0,0
beefe/react-native-actionsheet,3,2,3,2,1,0,0
birkir/prime,111,1,150,1,1,0,0
blocks/blocks,52,1,65,1,1,0,0
boostio/boostnote-legacy,134,19,314,21,1,0,0
boostio/boostnote,134,19,314,21,1,0,0
bottenderjs/messaging-apis,681,4,1381,4,1,0,0
brh55/react-native-masonry,6,1,13,1,1,0,0
buildo/react-placeholder,27,27,53,31,1,0,0
cacjs/cac,10,1,15,1,1,0,0
caiogondim/logdown.js,81,3,122,3,1,0,0
callstack/haul,76,12,262,12,1,0,0
carbon-design-system/carbon-components-react,1120,80,1532,91,0,0,1
casesandberg/react-color,0,0,0,0,1,1,0
casesandberg/reactcss,21,3,22,3,1,0,0
clintonwoo/hackernews-react-graphql,64,5,64,5,1,0,0
cloud-annotations/cloud-annotations,9,7,16,14,0,1,0
cloudflare/cf-ui,274,176,464,299,1,0,0
coryhouse/react-slingshot,64,2,83,2,1,0,0
css-modules/postcss-modules,16,6,21,7,1,0,0
ctrlplusb/react-universally,22,4,23,4,1,0,0
cwise89/react-detect-offline,13,6,14,6,1,0,0
denisraslov/react-spreadsheet-grid,14,14,14,14,1,0,0
didierfranc/react-waterfall,7,2,12,3,1,0,0
egoist/bili,1,1,1,1,1,0,0
elderjs/elderjs,237,24,390,29,0,0,1
elemefe/element-react,98,2,218,3,1,0,0
facebookarchive/rebound-js,20,2,41,4,1,0,0
faceyspacey/react-universal-component,65,24,147,61,1,0,0
faceyspacey/redux-first-router,95,20,219,22,1,0,0
fredkschott/snowpack,273,37,442,51,0,0,1
fuse-box/fuse-box,737,285,907,285,0,0,1
gaearon/react-hot-loader,208,2,676,2,1,0,0
geekyants/react-native-easy-grid,3,3,3,3,1,0,0
gielcobben/caption,7,7,7,7,1,0,0
googlechromelabs/prerender-loader,11,7,26,7,1,0,0
googlechromelabs/size-plugin,6,6,15,6,1,0,0
gothinkster/vue-realworld-example-app,19,1,27,1,1,0,0
gqless/gqless,149,45,607,90,0,1,0
graphql-compose/graphql-compose,972,6,2609,7,0,1,0
greenkeeperio/greenkeeper,455,49,1878,68,1,0,0
gridsome/gridsome,487,26,1718,27,1,0,0
haroenv/holmes,40,1,46,1,1,0,0
hiroppy/fusuma,27,27,30,30,1,0,0
hospitalrun/hospitalrun-frontend,760,2,1535,2,0,1,0
hql287/manta,375,17,709,17,1,0,0
hyperfuse/react-anime,4,4,4,4,1,0,0
interactivethings/catalog,105,14,129,14,1,0,0
iodide-project/iodide,337,1,528,1,1,0,0
jacklam718/react-native-modals,8,8,24,24,1,0,0
jamiebuilds/react-loadable,14,14,30,30,1,0,0
jaredpalmer/razzle,129,2,197,2,1,0,0
jiayihu/pretty-algorithms,55,4,78,4,1,0,0
johnagan/clean-webpack-plugin,43,1,136,1,0,1,0
jondot/react-flight,1,1,3,1,1,0,0
juliomrqz/statusfy,25,8,61,11,1,0,0
jxnblk/mdx-deck,26,9,29,9,1,0,0
kactus-io/kactus,705,4,1670,4,0,1,0
kaimallea/ismobile,210,2,210,2,0,1,0
kefranabg/readme-md-generator,104,2,148,2,1,0,0
kentcdodds/testing-workshop,125,22,320,26,1,0,0
kidjp85/react-id-swiper,40,24,51,24,1,0,0
kolodny/immutability-helper,0,0,0,0,1,1,0
leandrowd/react-responsive-carousel,117,17,185,17,1,0,0
lostpebble/pullstate,10,4,11,4,1,0,0
mapsplugin/cordova-plugin-googlemaps,46,5,54,5,1,0,0
markdalgleish/static-site-generator-webpack-plugin,2,1,2,1,1,0,0
markusenglund/react-switch,14,5,17,5,1,0,0
maronato/vue-toastification,201,43,457,45,1,0,0
mateodelnorte/meta,19,18,20,18,1,0,0
matvp91/indigo-player,21,1,43,1,1,0,0
maxchehab/phelia,105,99,110,99,1,0,0
mengxiong10/vue2-datepicker,66,12,142,12,1,0,0
michelebertoli/react-automata,26,1,37,1,1,0,0
millihq/terraform-aws-next-js,172,3,427,3,1,0,0
mobxjs/mobx-react-lite,95,5,289,6,0,0,1
mobxjs/mobx-react,106,6,215,7,0,0,1
mycryptohq/mycrypto,1160,10,1534,10,1,0,0
